accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac,speed
-8.49,1.868,-4.688,-7.729,-483.162,78.888,-527.671,-820.033,-59.274,-21.721,-40.697,-37.252,129.261,-150.921
-8.49,1.868,-4.688,-7.729,-483.162,78.888,-531.054,-820.087,-59.274,-21.721,-44.734,-37.158,124.311,-151.135
-8.49,1.868,-4.688,-7.729,-483.162,78.888,-534.436,-820.141,-59.274,-21.721,-48.73,-37.066,118.589,-151.349
-8.107,-1.25,-2.241,-37.819,-21.668,16.204,-534.587,-820.406,-72.437,29.148,-49.139,-36.705,-31.071,-151.553
-8.107,-1.25,-2.241,-1.015,-503.487,85.724,-538.112,-820.413,-72.437,29.148,-53.385,-36.054,110.487,-151.757
-29.153,3.96,-29.876,72.412,-423.713,85.541,-541.502,-819.834,-44.049,-7.551,-57.151,-35.11,66.727,-152.597
-29.153,3.96,-29.876,72.412,-423.713,85.541,-544.891,-819.255,-44.049,-7.551,-60.879,-34.175,64.918,-153.436
-29.153,3.96,-29.876,72.412,-423.713,85.541,-547.857,-818.748,-44.049,-7.551,-64.087,-33.331,63.376,-154.171
-14.696,-0.053,1.03,124.537,-202.03,90.729,-549.271,-817.876,-85.987,177.071,-65.917,-30.235,60.005,-154.541
-14.696,-0.053,1.03,124.537,-202.03,90.729,-550.888,-816.88,-85.987,177.071,-67.957,-27.028,56.442,-154.965
-14.696,-0.053,1.03,124.537,-202.03,90.729,-552.302,-816.008,-85.987,177.071,-69.748,-23.994,53.081,-155.335
-23.167,2.457,0.819,195.705,-111.94,83.344,-553.085,-814.638,-83.622,-108.435,-70.779,-23.279,52.168,-155.919
-23.167,2.457,0.819,195.705,-111.94,83.344,-553.869,-813.268,-83.622,-108.435,-71.799,-22.571,51.271,-156.503
-23.167,2.457,0.819,195.705,-111.94,83.344,-554.653,-811.898,-83.622,-108.435,-72.809,-21.87,50.39,-157.087
-25.274,1.504,1.24,266.995,-4.944,69.671,-554.687,-810.029,-85.59,-129.517,-72.977,-20.818,49.311,-157.723
-25.274,1.504,1.24,266.995,-4.944,69.671,-554.722,-808.16,-85.59,-129.517,-73.142,-19.777,48.24,-158.36
-6.201,-0.9,3.204,369.719,124.574,44.647,-553.85,-805.572,-61.781,164.304,-72.036,-14.99,43.622,-158.517
-6.201,-0.9,3.204,369.719,124.574,44.647,-552.978,-802.984,-61.781,164.304,-70.94,-10.251,39.012,-158.673
-6.201,-0.9,3.204,369.719,124.574,44.647,-552.106,-800.396,-61.781,164.304,-69.856,-5.559,34.397,-158.829
-0.163,-1.14,0.053,422.698,190.127,12.725,-550.775,-797.437,-8.122,92.646,-67.723,-1.208,30.271,-158.833
-0.163,-1.14,0.053,422.698,190.127,12.725,-549.254,-794.056,-8.122,92.646,-65.396,3.58,25.63,-158.838
-0.163,-1.14,0.053,422.698,190.127,12.725,-547.923,-791.097,-8.122,92.646,-63.308,7.84,21.382,-158.842
0.125,-1.599,0.038,431.426,192.385,-19.868,-546.576,-788.077,4.45,91.372,-61.097,12.113,60.085,-158.839
0.125,-1.599,0.038,431.426,192.385,-19.868,-545.23,-785.057,4.45,91.372,-58.908,16.344,56.858,-158.836
0.125,-1.599,0.038,431.426,192.385,-19.868,-543.883,-782.037,4.45,91.372,-56.742,20.533,53.641,-158.833
-0.029,-1.293,-0.168,434.783,183.352,-52.401,-542.599,-778.993,-1.262,82.614,-54.726,24.619,50.389,-158.833
-0.029,-1.293,-0.168,434.783,183.352,-52.401,-541.316,-775.95,-1.262,82.614,-52.73,28.664,47.063,-158.834
-0.029,-1.293,-0.168,434.783,183.352,-52.401,-540.033,-772.906,-1.262,82.614,-50.754,32.668,43.61,-158.835
-0.053,-1.676,-0.244,431.853,169.375,-83.346,-538.847,-769.884,-1.781,81.71,-48.914,36.6,39.929,-158.836
-0.053,-1.676,-0.244,431.853,169.375,-83.346,-537.492,-766.429,-1.781,81.71,-46.9,40.984,35.431,-158.838
-0.168,-1.858,0.177,431.06,151.064,-112.094,-536.435,-763.411,-5.131,95.447,-45.279,44.964,30.753,-158.842
-0.168,-1.858,0.177,431.06,151.064,-112.094,-535.377,-760.394,-5.131,95.447,-43.673,48.905,25.576,-158.846
-0.168,-1.858,0.177,431.06,151.064,-112.094,-534.169,-756.945,-5.131,95.447,-41.912,53.296,18.982,-158.851
39.391,-20.749,-22.425,338.651,114.442,-76.693,-533.368,-754.575,52.203,42.777,-40.059,55.89,14.981,-157.858
39.391,-20.749,-22.425,338.651,114.442,-76.693,-532.566,-752.204,52.203,42.777,-38.224,58.458,10.438,-156.866
39.391,-20.749,-22.425,338.651,114.442,-76.693,-531.765,-749.834,52.203,42.777,-36.408,61,5.239,-155.873
6.129,3.309,-29.876,139.674,101.198,15.716,-530.956,-748.716,11.525,-6.32,-35.007,61.599,4.05,-155.696
6.129,3.309,-29.876,139.674,101.198,15.716,-530.247,-747.739,11.525,-6.32,-33.735,62.033,3.135,-155.542
6.129,3.309,-29.876,139.674,101.198,15.716,-529.539,-746.761,11.525,-6.32,-32.476,62.462,2.124,-155.387
-11.287,58.905,30.513,21.935,88.441,32.134,-528.92,-746.607,-9.656,-117.384,-31.543,60.838,6.919,-155.672
-11.287,58.905,30.513,21.935,88.441,32.134,-528.301,-746.454,-9.656,-117.384,-30.619,59.231,12.029,-155.956
-11.287,58.905,30.513,21.935,88.441,32.134,-527.682,-746.3,-9.656,-117.384,-29.705,57.64,17.415,-156.241
24.403,8.591,10.837,75.586,49.683,119.416,-527.334,-745.771,60.46,-141.594,-28.407,56.25,-39.856,-155.626
24.403,8.591,10.837,75.586,49.683,119.416,-526.937,-745.167,60.46,-141.594,-27.066,54.96,-39.115,-154.923
-2.964,-2.313,-4.281,-13.283,30.029,215.059,-526.726,-745.259,-31.349,28.381,-26.869,54.588,-38.203,-154.998
-2.964,-2.313,-4.281,-13.283,30.029,215.059,-526.516,-745.352,-31.349,28.381,-26.675,54.22,-37.238,-155.072
-2.964,-2.313,-4.281,-13.283,30.029,215.059,-526.306,-745.445,-31.349,28.381,-26.482,53.856,-36.216,-155.147
-2.605,-0.34,1.987,-61.379,25.269,230.502,-526.129,-745.875,-52.262,170.292,-26.539,54.531,-39.12,-155.213
-2.605,-0.34,1.987,-61.379,25.269,230.502,-525.952,-746.305,-52.262,170.292,-26.595,55.2,-41.771,-155.278
-2.605,-0.34,1.987,-61.379,25.269,230.502,-525.775,-746.734,-52.262,170.292,-26.65,55.861,-44.192,-155.344
-1.393,-0.56,1.662,-26.772,21.301,240.511,-525.605,-746.948,-38.473,161.367,-26.574,56.673,-47.438,-155.384
-1.393,-0.56,1.662,-26.772,21.301,240.511,-525.456,-747.136,-38.473,161.367,-26.523,57.506,-50.409,-155.419
-1.393,-0.56,1.662,-26.772,21.301,240.511,-525.307,-747.323,-38.473,161.367,-26.473,58.331,-53.108,-155.454
-1.58,-0.967,-0.196,-46.914,22.522,238.619,-525.149,-747.652,-58.011,78.527,-26.609,58.159,-52.106,-155.494
-1.58,-0.967,-0.196,-46.914,22.522,238.619,-524.991,-747.98,-58.011,78.527,-26.743,57.989,-51.109,-155.534
