accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac
0.235,0.704,-9.692,-0.289,1.231,1.494,68.573,381.484,1.383,-4.154,0.181,-4.956,-60.55
0.125,0.704,-9.711,0.444,0.925,1.555,68.579,381.487,0.733,-4.146,0.194,-4.944,-60.566
0.125,0.704,-9.711,0.444,0.925,1.555,68.586,381.49,0.733,-4.146,0.207,-4.932,-60.582
0.125,0.704,-9.711,0.444,0.925,1.555,68.592,381.493,0.733,-4.146,0.219,-4.921,-60.597
-0.297,0.675,-9.822,0.322,0.559,1.555,68.595,381.495,-1.727,-3.933,0.203,-4.909,-59.773
-0.297,0.675,-9.822,0.322,0.559,1.555,68.599,381.497,-1.727,-3.933,0.189,-4.897,-59.767
-0.297,0.675,-9.822,0.322,0.559,1.555,68.602,381.499,-1.727,-3.933,0.173,-4.885,-59.761
-0.388,0.699,-9.917,-4.134,0.559,1.494,68.606,381.47,-2.234,-4.033,0.154,-4.91,-59.734
-0.388,0.699,-9.917,-4.134,0.559,1.494,68.609,381.445,-2.234,-4.033,0.134,-4.931,-59.71
-0.388,0.699,-9.917,-4.134,0.559,1.494,68.614,381.412,-2.234,-4.033,0.116,-4.961,-59.682
0.086,0.685,-9.845,-9.505,0.62,1.494,68.618,381.355,0.5,-3.979,0.124,-5.019,-59.663
0.086,0.685,-9.845,-9.505,0.62,1.494,68.622,381.289,0.5,-3.979,0.133,-5.088,-59.639
0.086,0.685,-9.845,-9.505,0.62,1.494,68.626,381.222,0.5,-3.979,0.142,-5.156,-59.615
0.326,0.781,-9.683,-12.618,0.437,1.555,68.629,381.146,1.92,-4.609,0.163,-5.24,-59.593
0.326,0.781,-9.683,-12.618,0.437,1.555,68.632,381.058,1.92,-4.609,0.184,-5.339,-59.565
0.326,0.781,-9.683,-12.618,0.437,1.555,68.635,380.97,1.92,-4.609,0.205,-5.437,-59.537
0.302,0.833,-9.654,-12.13,0.193,1.555,68.636,380.885,1.783,-4.933,0.222,-5.533,-59.507
0.302,0.833,-9.654,-12.13,0.193,1.555,68.638,380.812,1.783,-4.933,0.239,-5.613,-59.484
0.302,0.833,-9.654,-12.13,0.193,1.555,68.639,380.739,1.783,-4.933,0.256,-5.693,-59.461
0.148,0.924,-9.414,-7.308,-0.112,1.616,68.638,380.688,0.899,-5.607,0.261,-5.753,-59.438
