accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac
2.902,0.091,-10.003,21.485,1.155,0.293,-164.779,715.565,16.176,-0.521,-0.283,-0.382,-48.362
2.902,0.091,-10.003,21.485,1.155,0.293,-164.772,715.694,16.176,-0.521,-0.11,-0.237,-48.541
2.902,0.091,-10.003,21.485,1.155,0.293,-164.764,715.844,16.176,-0.521,0.062,-0.068,-48.732
2.902,0.091,-10.003,21.485,1.155,0.293,-164.757,715.973,16.176,-0.521,0.231,0.074,-48.907
2.313,0.177,-9.898,7.935,0.789,0.964,-164.752,716.029,13.15,-1.026,0.366,0.126,-49.015
2.313,0.177,-9.898,7.935,0.789,0.964,-164.746,716.084,13.15,-1.026,0.501,0.178,-49.122
0.776,0.139,-9.879,-2.136,0.239,1.574,-164.745,716.071,4.49,-0.805,0.542,0.154,-49.135
0.776,0.139,-9.879,-2.136,0.239,1.574,-164.743,716.056,4.49,-0.805,0.583,0.127,-49.146
0.776,0.139,-9.879,-2.136,0.239,1.574,-164.742,716.043,4.49,-0.805,0.624,0.103,-49.158
0.776,0.139,-9.879,-2.136,0.239,1.574,-164.74,716.029,4.49,-0.805,0.665,0.077,-49.169
-3.208,0.024,-9.754,-7.752,-0.31,1.452,-164.742,715.974,-18.207,-0.141,0.474,0.013,-49.021
-3.208,0.024,-9.754,-7.752,-0.31,1.452,-164.744,715.928,-18.207,-0.141,0.285,-0.042,-48.879
-3.788,-0.919,-10.042,-7.996,-0.31,1.147,-164.746,715.872,-20.588,5.231,0.073,-0.053,-48.747
-3.788,-0.919,-10.042,-7.996,-0.31,1.147,-164.748,715.816,-20.588,5.231,-0.136,-0.063,-48.617
-3.788,-0.919,-10.042,-7.996,-0.31,1.147,-164.75,715.76,-20.588,5.231,-0.343,-0.074,-48.49
2.739,0.666,-9.4,-14.344,0.3,-0.745,-164.749,715.674,16.207,-4.05,-0.175,-0.212,-48.516
2.739,0.666,-9.4,-14.344,0.3,-0.745,-164.747,715.573,16.207,-4.05,-0.009,-0.365,-48.534
