accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac,speed
-0.086,0.316,-9.711,4.65,0.741,0.269,-38.63,1205.43,-0.508,-1.864,-0.21,-1.394,-65.423,-708.965
-0.086,0.316,-9.711,4.65,0.741,0.269,-38.625,1205.46,-0.508,-1.864,-0.207,-1.362,-65.444,-708.967
-0.086,0.316,-9.711,4.65,0.741,0.269,-38.62,1205.49,-0.508,-1.864,-0.204,-1.33,-65.465,-708.97
-0.086,0.292,-9.783,4.772,0.802,0.208,-38.614,1205.53,-0.505,-1.71,-0.2,-1.296,-65.487,-708.972
-0.086,0.292,-9.783,4.772,0.802,0.208,-38.609,1205.56,-0.505,-1.71,-0.197,-1.262,-65.509,-708.974
-0.086,0.292,-9.783,4.772,0.802,0.208,-38.603,1205.6,-0.505,-1.71,-0.194,-1.228,-65.531,-708.976
-0.057,0.278,-9.774,3.917,0.557,0.147,-38.599,1205.62,-0.337,-1.628,-0.191,-1.201,-65.549,-708.978
-0.057,0.278,-9.774,3.917,0.557,0.147,-38.595,1205.65,-0.337,-1.628,-0.188,-1.174,-65.567,-708.979
-0.057,0.278,-9.774,3.917,0.557,0.147,-38.591,1205.68,-0.337,-1.628,-0.185,-1.147,-65.585,-708.98
-0.086,0.278,-9.798,3.49,0.252,0.208,-38.59,1205.7,-0.504,-1.624,-0.186,-1.124,-65.596,-708.983
-0.086,0.278,-9.798,3.49,0.252,0.208,-38.588,1205.73,-0.504,-1.624,-0.187,-1.101,-65.606,-708.985
-0.101,0.225,-9.759,2.208,-0.053,0.147,-38.588,1205.74,-0.59,-1.321,-0.192,-1.086,-65.609,-708.987
-0.101,0.225,-9.759,2.208,-0.053,0.147,-38.589,1205.76,-0.59,-1.321,-0.196,-1.071,-65.612,-708.99
-0.101,0.225,-9.759,2.208,-0.053,0.147,-38.589,1205.77,-0.59,-1.321,-0.2,-1.056,-65.615,-708.992
-0.053,0.254,-9.726,0.499,-0.114,0.208,-38.59,1205.78,-0.31,-1.495,-0.202,-1.056,-66.072,-708.994
-0.053,0.254,-9.726,0.499,-0.114,0.208,-38.591,1205.78,-0.31,-1.495,-0.204,-1.056,-66.069,-708.995
-0.053,0.254,-9.726,0.499,-0.114,0.208,-38.592,1205.78,-0.31,-1.495,-0.206,-1.056,-66.066,-708.997
-0.072,0.244,-9.616,1.903,-0.358,0.208,-38.594,1205.8,-0.428,-1.455,-0.211,-1.045,-66.066,-708.998
-0.072,0.244,-9.616,1.903,-0.358,0.208,-38.597,1205.81,-0.428,-1.455,-0.217,-1.032,-66.067,-709
-0.072,0.244,-9.616,1.903,-0.358,0.208,-38.599,1205.83,-0.428,-1.455,-0.222,-1.021,-66.067,-709.002
-0.072,0.225,-9.635,4.528,-0.236,0.269,-38.601,1205.86,-0.427,-1.338,-0.226,-0.983,-66.082,-709.004
-0.072,0.225,-9.635,4.528,-0.236,0.269,-38.603,1205.89,-0.427,-1.338,-0.23,-0.95,-66.095,-709.006
-0.11,0.23,-9.726,5.443,0.191,0.269,-38.601,1205.94,-0.649,-1.354,-0.232,-0.905,-66.117,-709.009
-0.11,0.23,-9.726,5.443,0.191,0.269,-38.6,1205.98,-0.649,-1.354,-0.235,-0.866,-66.135,-709.012
-0.11,0.23,-9.726,5.443,0.191,0.269,-38.599,1206.02,-0.649,-1.354,-0.237,-0.821,-66.156,-709.015
-0.091,0.23,-9.855,4.1,0.374,0.208,-38.596,1206.05,-0.529,-1.336,-0.237,-0.789,-66.174,-709.018
-0.091,0.23,-9.855,4.1,0.374,0.208,-38.593,1206.08,-0.529,-1.336,-0.237,-0.762,-66.189,-709.02
-0.091,0.23,-9.855,4.1,0.374,0.208,-38.59,1206.11,-0.529,-1.336,-0.237,-0.735,-66.203,-709.023
-0.12,0.211,-9.874,0.621,0.13,0.208,-38.589,1206.11,-0.694,-1.222,-0.24,-0.735,-66.199,-709.026
-0.12,0.211,-9.874,0.621,0.13,0.208,-38.589,1206.12,-0.694,-1.222,-0.244,-0.735,-66.195,-709.029
-0.12,0.211,-9.874,0.621,0.13,0.208,-38.588,1206.12,-0.694,-1.222,-0.247,-0.735,-66.191,-709.032
-0.096,0.201,-9.889,-3.834,-0.114,0.208,-38.589,1206.09,-0.555,-1.165,-0.251,-0.774,-65.363,-709.034
-0.096,0.201,-9.889,-3.834,-0.114,0.208,-38.589,1206.07,-0.555,-1.165,-0.255,-0.808,-65.339,-709.037
-0.067,0.235,-9.788,-7.618,-0.419,0.208,-38.593,1206.01,-0.392,-1.373,-0.261,-0.883,-65.289,-709.039
-0.067,0.235,-9.788,-7.618,-0.419,0.208,-38.596,1205.95,-0.392,-1.373,-0.265,-0.949,-65.245,-709.04
-0.067,0.235,-9.788,-7.618,-0.419,0.208,-38.599,1205.9,-0.392,-1.373,-0.27,-1.014,-65.201,-709.042
-0.077,0.259,-9.659,-8.534,-0.602,0.147,-38.603,1205.84,-0.454,-1.534,-0.276,-1.087,-65.15,-709.044
-0.077,0.259,-9.659,-8.534,-0.602,0.147,-38.608,1205.77,-0.454,-1.534,-0.284,-1.169,-65.093,-709.046
-0.077,0.259,-9.659,-8.534,-0.602,0.147,-38.612,1205.71,-0.454,-1.534,-0.29,-1.241,-65.042,-709.048
-0.048,0.273,-9.549,-5.909,-0.541,0.086,-38.616,1205.67,-0.287,-1.637,-0.295,-1.292,-65.006,-709.049
-0.048,0.273,-9.549,-5.909,-0.541,0.086,-38.62,1205.62,-0.287,-1.637,-0.299,-1.349,-64.966,-709.051
-0.105,0.283,-9.467,0.011,-0.236,0.025,-38.622,1205.62,-0.637,-1.709,-0.305,-1.353,-64.958,-709.053
-0.105,0.283,-9.467,0.011,-0.236,0.025,-38.623,1205.62,-0.637,-1.709,-0.31,-1.356,-64.949,-709.056
-0.105,0.283,-9.467,0.011,-0.236,0.025,-38.625,1205.62,-0.637,-1.709,-0.315,-1.36,-64.94,-709.059
-0.077,0.292,-9.711,5.748,0.313,-0.036,-38.623,1205.66,-0.452,-1.723,-0.314,-1.318,-64.967,-709.061
-0.077,0.292,-9.711,5.748,0.313,-0.036,-38.621,1205.7,-0.452,-1.723,-0.313,-1.276,-64.993,-709.063
-0.077,0.292,-9.711,5.748,0.313,-0.036,-38.618,1205.75,-0.452,-1.723,-0.312,-1.228,-65.023,-709.065
-0.014,0.244,-9.946,6.359,0.435,-0.097,-38.615,1205.79,-0.083,-1.407,-0.306,-1.179,-68.492,-709.065
-0.014,0.244,-9.946,6.359,0.435,-0.097,-38.612,1205.84,-0.083,-1.407,-0.3,-1.131,-68.524,-709.066
-0.014,0.244,-9.946,6.359,0.435,-0.097,-38.609,1205.88,-0.083,-1.407,-0.294,-1.083,-68.554,-709.066
-0.043,0.215,-9.951,2.147,0.13,-0.158,-38.608,1205.9,-0.248,-1.241,-0.293,-1.067,-68.564,-709.067
-0.043,0.215,-9.951,2.147,0.13,-0.158,-38.607,1205.91,-0.248,-1.241,-0.292,-1.054,-68.572,-709.068
-0.182,0.244,-9.778,-3.224,-0.114,-0.219,-38.608,1205.89,-1.066,-1.431,-0.3,-1.084,-68.547,-709.073
-0.182,0.244,-9.778,-3.224,-0.114,-0.219,-38.609,1205.87,-1.066,-1.431,-0.309,-1.113,-68.522,-709.077
-0.182,0.244,-9.778,-3.224,-0.114,-0.219,-38.61,1205.84,-1.066,-1.431,-0.317,-1.145,-68.495,-709.083
-0.211,0.239,-9.644,-6.154,-0.175,-0.097,-38.611,1205.8,-1.251,-1.422,-0.328,-1.197,-68.455,-709.088
-0.211,0.239,-9.644,-6.154,-0.175,-0.097,-38.612,1205.75,-1.251,-1.422,-0.339,-1.249,-68.416,-709.093
-0.211,0.239,-9.644,-6.154,-0.175,-0.097,-38.614,1205.71,-1.251,-1.422,-0.349,-1.299,-68.378,-709.099
-0.091,0.283,-9.692,-5.482,-0.48,0.086,-38.617,1205.67,-0.538,-1.67,-0.355,-1.347,-68.347,-709.101
-0.091,0.283,-9.692,-5.482,-0.48,0.086,-38.621,1205.63,-0.538,-1.67,-0.361,-1.4,-68.312,-709.104
-0.091,0.283,-9.692,-5.482,-0.48,0.086,-38.624,1205.59,-0.538,-1.67,-0.367,-1.446,-68.281,-709.106
-0.024,0.316,-9.721,-3.895,-1.09,0.086,-38.632,1205.56,-0.141,-1.862,-0.373,-1.482,-68.255,-709.106
-0.024,0.316,-9.721,-3.895,-1.09,0.086,-38.639,1205.54,-0.141,-1.862,-0.38,-1.516,-68.23,-709.107
-0.024,0.316,-9.721,-3.895,-1.09,0.086,-38.647,1205.51,-0.141,-1.862,-0.386,-1.551,-68.204,-709.108
-0.072,0.335,-9.769,-1.942,-1.884,0.147,-38.66,1205.49,-0.421,-1.965,-0.401,-1.57,-67.554,-709.109
-0.072,0.335,-9.769,-1.942,-1.884,0.147,-38.673,1205.48,-0.421,-1.965,-0.416,-1.59,-67.524,-709.111
-0.057,0.316,-9.879,-0.904,-2.738,0.208,-38.693,1205.47,-0.333,-1.832,-0.437,-1.6,-67.492,-709.113
-0.057,0.316,-9.879,-0.904,-2.738,0.208,-38.712,1205.47,-0.333,-1.832,-0.458,-1.609,-67.461,-709.114
-0.057,0.316,-9.879,-0.904,-2.738,0.208,-38.731,1205.46,-0.333,-1.832,-0.479,-1.619,-67.429,-709.116
-0.101,0.177,-9.812,-3.651,-3.288,0.269,-38.754,1205.44,-0.587,-1.035,-0.506,-1.642,-67.382,-709.118
-0.101,0.177,-9.812,-3.651,-3.288,0.269,-38.78,1205.41,-0.587,-1.035,-0.537,-1.669,-67.328,-709.121
-0.101,0.177,-9.812,-3.651,-3.288,0.269,-38.803,1205.38,-0.587,-1.035,-0.564,-1.692,-67.282,-709.124
-0.163,0.278,-9.668,-6.52,-3.715,0.269,-38.829,1205.34,-0.964,-1.645,-0.597,-1.743,-67.211,-709.128
-0.163,0.278,-9.668,-6.52,-3.715,0.269,-38.855,1205.29,-0.964,-1.645,-0.63,-1.794,-67.141,-709.132
-0.163,0.278,-9.668,-6.52,-3.715,0.269,-38.881,1205.24,-0.964,-1.645,-0.663,-1.845,-67.071,-709.136
-0.215,0.441,-8.969,-2.003,-3.654,0.025,-38.907,1205.23,-1.375,-2.812,-0.7,-1.87,-67.011,-709.141
-0.215,0.441,-8.969,-2.003,-3.654,0.025,-38.932,1205.22,-1.375,-2.812,-0.736,-1.896,-66.951,-709.147
-0.215,0.441,-8.969,-2.003,-3.654,0.025,-38.958,1205.2,-1.375,-2.812,-0.771,-1.921,-66.892,-709.152
-0.575,0.326,-8.84,15.88,-1.518,-0.586,-38.97,1205.33,-3.717,-2.11,-0.814,-1.778,-66.916,-709.169
